,loss,,error,,errorFrac,
,train,test,train,test,train,test
F0,141955.38248849422,121238.61947929951,0.5717543,0.99776924,1.572448,1.091986
F1,120316.51234212985,141430.45584395493,0.9039946,0.49476463,1.4910398,1.5938233
F2,119437.98620778513,139461.14129289257,0.8440426,0.31579977,1.5334833,1.6382456
F3,118759.43873167346,171612.64331976036,0.79330647,0.50142115,1.632802,2.0956209
F4,118222.34540107593,167505.72232527102,0.7537832,0.62208146,1.5604725,2.032387
F5,117452.67531057302,141352.6169530672,0.68778765,0.49276286,1.6534036,1.694891
F6,117066.52898241713,108938.76966979403,0.64328456,0.44288045,1.7906346,1.3435606
