0,13
1,55
2,220
3,4
4,29
5,4
6,28
7,74
8,17
9,6
10,8
11,42
12,46
13,3
14,133
15,1
16,29
17,19
18,285
19,11
20,47
21,64
22,4
23,52
24,87
25,256
26,69
27,330
28,6
29,9
30,88
31,109
32,13
33,10
34,58
35,37
36,93
37,112
38,7
39,23
40,1
41,55
42,83
43,1
44,44
45,16
46,9
47,4
48,5
49,47
50,30
51,17
52,3
53,14
54,16
55,22
56,22
57,6
58,14
59,53
60,63
61,6
62,168
63,9
64,99
65,13
66,39
67,5
68,1
69,36
70,41
71,100
72,30
73,257
74,12
75,18
76,6
77,13
78,3
79,2
80,8
81,52
82,1
83,1
84,4
85,5
86,2
87,32
88,22
89,16
90,31
91,9
92,1
93,53
94,1
95,1
96,127
97,12
98,57
99,2
100,23
101,3
102,68
103,5
104,48
105,46
106,57
107,72
108,7
109,54
110,112
111,22
112,2
113,8
114,75
115,15
116,10
117,97
118,5
119,8
120,87
121,104
122,3
123,152
124,11
125,14
126,25
127,30
128,25
129,13
130,19
131,13
132,28
133,24
134,83
135,25
136,3
137,36
138,55
139,131
140,6
141,40
142,23
143,71
144,4
145,2
146,2
147,17
148,10
149,14
150,9
151,19
152,27
153,46
154,56
155,8
156,8
157,50
158,13
159,19
160,100
161,51
162,3
163,23
164,16
165,26
166,21
167,4
168,16
169,174
170,76
171,75
172,104
173,123
174,8
175,58
176,18
177,5
178,1
179,6
180,13
181,12
182,82
183,1
184,12
185,57
186,11
187,53
188,3
189,6
190,2
191,4
192,38
193,5
194,6
195,44
196,11
197,6
198,28
199,110
200,50
201,85
202,11
203,11
204,2
205,53
206,99
207,21
208,9
209,11
210,2
211,4
212,87
213,6
214,1
215,4
216,53
217,102
218,12
219,14
220,5
221,30
222,25
223,20
224,55
225,42
226,130
227,55
228,3
229,2
230,13
231,81
232,29
233,46
234,12
235,2
236,17
237,14
238,12
239,77
240,51
241,28
242,24
243,8
244,48
245,31
246,11
247,14
248,12
249,6
250,30
251,13
252,16
253,18
254,34
255,42
256,136
257,13
258,26
259,128
260,2
261,185
262,20
263,75
264,12
265,18
266,4
267,73
268,62
269,59
270,13
271,43
272,35
273,44
274,11
275,5
276,11
277,22
278,55
279,6
280,12
281,55
282,7
283,4
284,4
285,8
286,25
287,24
288,7
289,55
290,61
291,64
292,29
293,79
294,21
295,9
296,6
297,31
298,58
299,57
300,137
301,35
302,49
303,5
304,11
305,2
306,7
307,159
308,30
309,41
310,37
311,11
312,27
313,122
314,37
315,8
316,19
317,109
318,51
319,44
320,2
321,301
322,1
323,6
324,9
325,91
326,84
327,32
328,67
329,17
330,89
331,3
332,24
333,4
334,5
335,19
336,20
337,11
338,12
339,39
340,24
341,56
342,210
343,6
344,35
345,77
346,51
347,23
348,15
349,27
350,39
351,27
352,22
353,47
354,15
355,17
356,5
357,34
358,30
359,99
360,50
361,77
362,35
363,42
364,34
365,32
366,19
367,37
368,2
369,28
370,58
371,28
372,20
373,108
374,20
375,65
376,30
377,17
378,31
379,68
380,71
381,11
382,8
383,84
384,3
385,153
386,20
387,61
388,2
389,7
390,144
391,23
392,35
393,5
394,3
395,104
396,40
397,107
398,106
399,81
400,55
401,65
402,12
403,2
404,72
405,30
406,139
407,76
408,29
409,59
410,66
411,20
412,2
413,8
414,38
415,30
416,219
417,4
418,20
419,7
420,133
421,32
422,9
423,4
424,320
425,1
426,39
427,3
428,1
429,191
430,13
431,2
432,3
433,14
434,34
435,102
436,20
437,37
438,23
439,4
440,21
441,40
442,2
443,28
444,113
445,45
446,48
447,20
448,8
449,55
450,5
451,89
452,72
453,78
454,476
455,8
456,8
457,19
458,3
459,12
460,8
461,5
462,1
463,37
464,8
465,12
466,12
467,34
468,8
469,6
470,10
471,10
472,58
473,54
474,9
475,65
476,22
477,74
478,39
479,28
480,181
481,15
482,156
483,3
484,29
485,46
486,167
