0,0,2,0,1,0,0,1,1,2,1,1,0,0,2,0,0,0,2,0,1,2,1,0,0,3,0,0,1,0,1
1,4,0,0,0,0,4,3,3,2,0,0,2,2,1,2,2,0,0,2,3,2,2,1,1,0,0,1,3,2,1
2,4,7,3,5,4,6,7,10,8,7,5,5,1,12,5,6,9,7,6,3,10,3,2,3,8,3,1,4,10,11
3,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
4,0,6,0,9,0,1,0,0,1,7,4,3,2,0,0,1,0,5,0,1,0,3,1,0,6,1,1,3,2,3
5,1,1,0,1,0,2,1,1,0,0,0,1,0,1,4,0,0,0,3,0,1,2,1,1,0,1,1,0,4,0
6,0,0,0,6,0,0,1,1,0,1,2,0,0,1,0,0,0,6,0,0,1,0,0,3,6,0,0,1,5,3
7,0,0,11,11,2,0,2,1,1,7,6,1,1,4,3,0,11,8,3,0,9,2,0,9,7,2,0,6,3,0
8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2,1,2,3,1,1,1,2,1,0,2,2,0,2,2,0,0,3,4,2,2,1,1,0,4,2,2,2,2,0
10,2,2,1,0,0,0,0,1,1,0,2,1,0,0,1,1,1,1,1,0,0,1,0,1,2,2,1,2,2,2
11,0,0,1,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
12,1,0,1,3,0,0,0,0,2,1,4,2,1,1,2,2,2,2,3,6,1,2,0,1,0,1,2,2,2,1
13,1,1,1,1,2,1,2,0,0,3,2,0,2,3,0,0,4,2,0,0,1,0,0,0,1,1,1,1,2,1
14,0,0,0,1,0,0,0,1,1,1,0,0,1,3,1,0,0,0,0,0,0,8,1,0,0,0,0,0,0,0
15,8,0,0,26,2,6,3,7,0,3,15,4,4,6,5,3,4,19,3,4,2,3,0,1,28,0,5,4,4,0
16,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,0,0,5,0,2,0,1,2,0,4,0,0,2,0,0,1,0,0,3,0,0,3,0,0,0,0,0,0,0,0
18,0,1,1,0,0,0,0,0,2,2,0,0,2,2,1,2,1,0,1,1,1,0,2,4,2,0,0,0,1,0
19,3,5,6,5,3,1,3,6,6,11,5,5,5,1,4,4,9,3,1,3,2,4,3,4,8,2,2,0,6,2
20,0,2,1,8,0,0,3,0,0,1,6,3,1,0,0,0,0,6,0,0,0,0,0,0,4,1,0,0,1,0
21,2,1,1,6,3,3,3,2,0,2,2,3,3,1,0,1,4,0,0,0,2,4,4,1,2,3,2,3,0,2
22,1,3,2,4,3,2,5,2,2,2,3,0,0,2,1,1,1,2,0,3,7,2,2,3,3,2,1,5,4,3
23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
24,2,8,8,12,0,1,0,1,2,1,7,0,1,2,2,2,5,5,0,0,1,1,0,5,7,1,1,0,2,1
25,0,7,2,8,2,0,2,1,0,0,6,1,5,3,0,0,3,7,2,1,5,3,2,1,8,2,2,5,0,5
26,6,2,10,115,4,8,15,6,5,5,34,5,12,21,5,3,13,63,4,7,14,9,11,3,66,5,14,17,3,5
27,1,1,0,0,1,0,0,0,2,0,2,0,0,0,0,0,1,0,0,3,1,0,0,11,1,0,0,0,0,0
28,9,4,4,3,1,10,12,9,2,3,7,4,12,15,9,10,1,6,10,7,12,9,7,7,7,7,11,15,9,7
29,19,21,19,19,17,28,16,26,36,32,22,19,20,30,20,30,32,24,24,31,20,27,25,19,19,16,21,26,27,20
30,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0
31,4,5,2,2,3,6,6,8,2,7,3,1,4,5,2,1,6,7,3,2,4,7,5,3,3,3,5,1,7,3
32,34,1,3,1,14,23,9,13,10,2,3,57,44,53,60,27,77,4,49,66,68,47,15,3,1,10,61,67,53,73
33,1,1,0,0,1,3,0,1,0,1,1,0,3,0,1,0,1,1,0,2,0,1,0,1,1,0,2,3,1,2
34,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,1,8,12,20,1,6,4,3,1,7,14,2,1,1,1,1,3,19,1,3,5,2,5,3,9,5,1,3,3,0
