"6256","57868","0","12512","0","0","10948","997832","46920","0","0","0","12512","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","56304","0","0","31280","56304","0","6256","0","0","0","0"
"136416","4872","0","9744","485982","75516","0","0","0","0","0","0","0","0","0","0","0","0","0","6090","0","0","0","0","0","0","0","0","0","9744","0","0","7308","53592","0","0","0","0","0","0"
"165416","10672","10672","10672","12006","94714","0","0","0","800400","0","0","0","0","0","0","5336","0","0","0","0","0","6670","0","0","0","0","0","0","10672","38686","0","5336","10672","0","16008","0","0","10672","0"
"97608","2096829","237048","176043","27888","13944","26145","0","27888","0","6972","0","27888","20916","6972","6972","0","869757","0","0","6972","0","0","327684","0","0","0","6972","0","0","0","0","6972","76692","177786","48804","0","0","8715","0"
"9977","566875","47164","3628","47164","14512","0","3628","0","7256","0","8163","168702","0","0","3628","0","0","3628","0","0","72560","0","0","7256","0","0","10884","0","0","0","0","0","0","25396","18140","0","3628","0","0"
"29084","910858","31728","15864","87252","10576","0","0","0","21152","0","0","202266","0","0","0","5288","0","0","0","0","154674","0","0","10576","0","0","0","0","0","0","0","10576","0","21152","38338","0","5288","0","0"
"2202952","30296","0","140660","64920","17312","17312","0","0","0","0","43280","0","666512","0","0","0","0","285648","0","0","0","0","0","0","0","0","0","0","0","0","17312","0","56264","155808","19476","0","0","0","0"
"0","0","6516","475668","6516","0","0","0","0","0","26064","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","71676","14661","32580","6516","0","6516","0","0","0","0","0","0","0","0"
"80483","0","2756052","31408","15704","0","0","0","62816","0","0","0","7852","0","23556","0","0","119743","0","0","0","0","0","0","0","0","0","168818","143299","0","7852","135447","9815","0","39260","0","0","0","0","0"
"5568","5568","1305696","0","11136","22272","5568","0","0","0","0","0","0","11136","0","5568","0","0","0","0","0","0","6960","0","0","0","11136","135024","0","61248","16704","33408","0","0","0","0","0","0","0","0"
"38976","1351168","0","0","0","0","6496","25984","0","6496","0","0","0","25984","0","0","0","6496","0","0","0","0","17864","0","201376","6496","0","0","6496","71456","0","95816","0","0","6496","0","0","0","0","0"
"22576","11288","976412","11288","0","12699","5644","33864","0","0","0","0","0","0","0","0","0","5644","0","0","0","0","0","7055","0","0","5644","53618","0","50796","50796","5644","0","0","0","0","0","0","0","0"
"1370540","44480","5560","25020","30580","16680","113980","5560","5560","0","0","0","0","0","0","0","16680","0","5560","11120","0","0","0","0","0","0","105640","40310","18070","122320","0","0","0","77840","0","0","0","0","0","0"
"899910","18180","0","12120","0","0","0","0","42420","0","0","0","0","0","13635","0","0","0","0","0","0","0","0","0","0","0","37875","6060","0","71205","0","0","0","0","72720","0","0","0","0","0"
"17628","712465","0","11752","0","0","24973","0","0","0","0","5876","0","0","0","0","0","0","7345","11752","0","0","0","0","0","0","52884","11752","0","0","0","0","60229","0","76388","0","0","0","0","0"
"1421290","6728","13456","0","151380","74008","0","6728","0","13456","0","0","0","0","0","0","0","0","0","698030","0","0","6728","0","20184","60552","0","43732","0","0","0","0","0","53824","13456","0","67280","0","100920","0"
"0","309700","0","13040","48900","13855","0","13040","6520","0","0","0","3260","0","0","0","0","0","0","237980","0","0","0","0","9780","26080","0","0","0","0","0","0","3260","20375","7335","0","16300","6520","13040","3260"
"5715940","21368","42736","0","878759","154918","0","53420","32052","0","10684","10684","0","10684","0","0","21368","0","0","1968527","0","0","0","0","32052","77459","0","21368","10684","0","0","0","16026","64104","10684","0","160260","0","96156","0"
"111870","0","0","0","0","0","4520","6780","0","0","0","0","0","0","2260","0","0","0","0","40680","2260","0","0","0","2260","0","0","0","0","0","0","0","0","0","0","0","4520","0","0","0"
"0","165034","0","3268","10621","3268","0","3268","0","0","0","0","0","0","0","0","0","0","0","76798","0","0","0","0","3268","0","0","0","0","0","0","0","6536","8170","3268","0","33497","3268","6536","3268"
"1599664","0","13112","13112","158983","52448","31141","13112","19668","0","0","6556","0","0","6556","0","6556","0","0","658878","0","0","0","0","26224","26224","0","0","0","0","0","0","0","6556","0","0","86867","0","134398","0"
"78640","0","15728","1313288","47184","0","0","3932","0","0","3932","0","0","0","0","0","11796","0","0","0","3932","0","0","0","0","0","15728","43252","0","7864","0","0","28507","52099","3932","0","0","3932","0","0"
"106024","36560","36560","1568424","0","9140","0","0","21936","7312","0","0","0","0","0","14624","0","21936","0","0","14624","0","0","0","0","0","144412","7312","7312","71292","0","21936","102368","7312","0","0","0","0","0","0"
"74880","0","3627000","18720","9360","9360","84240","0","0","0","0","0","0","0","0","0","32760","0","0","28080","0","0","0","0","0","0","198900","18720","18720","0","28080","0","238680","0","294840","0","0","0","0","0"
"27615","1804180","228284","14728","0","22092","0","7364","0","7364","0","202510","0","7364","18410","22092","0","14728","0","0","0","351631","0","0","0","22092","0","0","344267","0","14728","0","0","0","0","0","0","0","0","0"
"6068","1031560","412624","0","0","21238","24272","0","0","12136","0","461168","0","6068","6068","0","0","0","6068","50061","144115","0","0","0","6068","0","0","0","0","159285","6068","0","0","0","0","0","0","0","0","0"
"1316570","38440","194122","0","0","19220","7688","0","0","0","0","236406","0","0","7688","38440","7688","7688","7688","0","203732","0","0","0","0","0","0","0","0","132618","7688","0","0","0","0","0","0","0","0","0"
"352308","426569","768515","96712","0","13816","0","806509","27632","0","0","0","217602","0","6908","0","0","566456","0","0","0","0","8635","0","6908","0","0","0","0","0","0","0","0","34540","55264","89804","0","0","0","0"
"97281","100884","265421","32427","0","9608","0","0","213778","4804","0","0","92477","0","0","0","0","214979","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4804","30025","15613","14412","0","7206","0","0"
"224532","244944","322218","0","17496","0","481140","29160","5832","5832","17496","0","77274","0","0","0","0","287226","0","0","0","0","0","0","0","0","0","0","0","0","0","23328","23328","0","46656","0","0","5832","0","0"
"35952","111708","0","0","2568","5136","0","2568","5136","0","0","0","74472","0","0","0","0","0","0","0","0","0","5778","0","0","0","21186","0","0","0","0","0","0","0","0","17976","0","0","0","0"
